t_ms,ax_g,ay_g,az_g,label
2195,0.006588,-0.00732,0.768844,UPDOWN
2213,0.03416,-0.00854,1.003145,UPDOWN
2231,0.054351,-0.002623,1.287832,UPDOWN
2248,0.093696,0.041907,1.534577,UPDOWN
2266,0.119377,0.070089,1.783823,UPDOWN
2282,0.131272,0.097112,1.93614,UPDOWN
2299,0.149145,0.109495,1.997811,UPDOWN
2317,0.14152,0.095648,1.938153,UPDOWN
2335,0.129808,0.078507,1.806332,UPDOWN
2352,0.1159,0.052216,1.640229,UPDOWN
2370,0.093513,0.027389,1.459913,UPDOWN
2388,0.072956,0.009211,1.30784,UPDOWN
2406,0.070272,0.016409,1.169004,UPDOWN
2423,0.082167,0.014152,1.031632,UPDOWN
2441,0.053863,0.012383,0.877424,UPDOWN
2457,0.064599,-0.008479,0.748775,UPDOWN
2474,0.062708,-0.020191,0.637877,UPDOWN
2492,0.051667,-0.024095,0.527772,UPDOWN
2510,0.059109,-0.042456,0.430111,UPDOWN
2528,0.071187,-0.054351,0.368135,UPDOWN
2545,0.070699,-0.057584,0.320616,UPDOWN
2563,0.062952,-0.059109,0.298473,UPDOWN
2579,0.048007,-0.055205,0.304268,UPDOWN
2597,0.020984,-0.053436,0.328607,UPDOWN
2614,0.025864,-0.032391,0.399977,UPDOWN
2632,0.036844,-0.009272,0.521245,UPDOWN
2650,0.034587,-0.016287,0.67954,UPDOWN
2668,-0.002684,-0.042761,0.838384,UPDOWN
2686,-0.002379,-0.04758,1.004853,UPDOWN
2702,0.048312,-0.031171,1.233115,UPDOWN
2719,0.099857,-0.000976,1.47986,UPDOWN
2737,0.110349,0.025132,1.658773,UPDOWN
2755,0.11468,0.02928,1.750212,UPDOWN
2772,0.117852,0.034709,1.759667,UPDOWN
2790,0.127917,0.040016,1.761192,UPDOWN
2808,0.1342,0.032635,1.758508,UPDOWN
2826,0.122732,0.022631,1.706048,UPDOWN
2841,0.131272,0.028975,1.625772,UPDOWN
2859,0.132187,0.027145,1.526769,UPDOWN
