t_ms,ax_g,ay_g,az_g,label
2579,-0.129991,-0.234423,1.127036,CW
2596,-0.272121,-0.160796,1.143689,CW
2614,-0.384056,-0.09882,1.052372,CW
2631,-0.386557,-0.061732,0.939705,CW
2649,-0.317688,-0.044164,0.91134,CW
2666,-0.285724,0.004636,0.942633,CW
2684,-0.253089,0.034831,0.914695,CW
2701,-0.257115,0.068381,0.846924,CW
2719,-0.243817,0.1037,0.812337,CW
2736,-0.263276,0.168177,0.850096,CW
2753,-0.262483,0.247477,0.940437,CW
2771,-0.210389,0.317932,1.027789,CW
2788,-0.096441,0.337391,1.049017,CW
2808,0.028487,0.3416,1.015772,CW
2825,0.117608,0.347212,1.027728,CW
2842,0.148535,0.389607,1.069452,CW
2860,0.159637,0.375272,1.087569,CW
2877,0.213439,0.352641,1.005768,CW
2894,0.35624,0.254919,0.970144,CW
2912,0.484889,0.133956,1.000705,CW
2929,0.532957,0.044713,1.0126,CW
2946,0.591944,-0.107543,1.02724,CW
2964,0.624396,-0.231007,1.016321,CW
2981,0.57828,-0.313784,1.054507,CW
2998,0.468541,-0.358741,1.0492,CW
3016,0.351055,-0.376492,1.008757,CW
3033,0.217892,-0.353129,1.015345,CW
3051,-0.002135,-0.281027,1.078663,CW
3068,-0.260104,-0.178791,1.049871,CW
3086,-0.393999,-0.116815,0.966667,CW
3103,-0.413519,-0.062647,0.926285,CW
3121,-0.358253,-0.049776,0.909388,CW
3138,-0.305488,0.001647,0.907619,CW
3156,-0.257176,0.047397,0.972767,CW
3173,-0.292861,0.119804,1.000217,CW
3190,-0.333731,0.165676,0.926407,CW
3208,-0.316712,0.194773,0.811544,CW
3227,-0.269681,0.254248,0.82228,CW
3245,-0.211609,0.319823,0.933971,CW
3262,-0.147132,0.350079,0.980575,CW
3280,-0.028243,0.380945,1.037244,CW
3297,0.125721,0.388448,1.085129,CW
3314,0.258823,0.385032,1.143445,CW
3332,0.348676,0.370331,1.11386,CW
3349,0.357765,0.353556,1.050664,CW
3366,0.375089,0.261568,0.990396,CW
3383,0.439139,0.143472,0.964532,CW
3401,0.508557,-0.015433,0.967033,CW
3418,0.567239,-0.127612,0.976793,CW
3436,0.580903,-0.232471,0.994605,CW
3453,0.535336,-0.33916,0.979416,CW
3470,0.406321,-0.402661,0.993324,CW
3488,0.246196,-0.391132,1.00894,CW
3505,0.08906,-0.333304,1.054751,CW
3523,-0.109495,-0.243756,1.114592,CW
3540,-0.322019,-0.158844,1.070489,CW
3558,-0.43798,-0.095404,1.007964,CW
3575,-0.415837,-0.067161,0.968497,CW
