t_ms,ax_g,ay_g,az_g,label
2675,0.013176,0.021411,0.998265,idle
2692,0.013481,0.021167,0.99796,idle
2710,0.014335,0.02196,0.999851,idle
2727,0.014884,0.021533,0.998448,idle
2745,0.014396,0.021716,0.998204,idle
2762,0.013481,0.021472,0.998692,idle
2780,0.013664,0.021716,0.999668,idle
2797,0.013908,0.02196,1.000095,idle
2815,0.014091,0.021289,0.999119,idle
2832,0.014579,0.020191,0.999363,idle
2847,0.01464,0.020313,0.997777,idle
2865,0.014335,0.021533,0.999424,idle
2882,0.014091,0.021289,0.998204,idle
2900,0.01342,0.02196,0.996984,idle
2917,0.012932,0.022448,0.998448,idle
2935,0.01342,0.022448,0.999912,idle
2952,0.015067,0.020923,0.999668,idle
2970,0.015677,0.021167,0.997472,idle
2987,0.015128,0.021228,1.00162,idle
3005,0.015067,0.020984,0.996923,idle
3022,0.01464,0.02074,0.998875,idle
3040,0.014091,0.021472,0.998631,idle
3057,0.012993,0.020984,0.998448,idle
3075,0.013115,0.020984,1.000583,idle
3092,0.013847,0.020557,0.999119,idle
3110,0.013969,0.021289,0.996984,idle
3127,0.014884,0.021777,0.996984,idle
3145,0.015616,0.021472,1.003084,idle
3162,0.01586,0.02074,1.003328,idle
3180,0.015189,0.020313,1.002291,idle
3197,0.014945,0.019764,0.996008,idle
3215,0.014457,0.020984,0.996984,idle
3232,0.014823,0.02074,0.998692,idle
3250,0.014701,0.020252,1.000888,idle
3267,0.014091,0.020069,0.999912,idle
3285,0.014457,0.020984,0.99674,idle
3302,0.013847,0.022753,0.996252,idle
3320,0.014091,0.02196,0.998875,idle
3337,0.01464,0.020984,1.0004,idle
3355,0.014884,0.020252,1.000156,idle
3372,0.015311,0.021228,1.001925,idle
3390,0.014884,0.021167,0.998692,idle
3407,0.015555,0.020191,0.997655,idle
3425,0.015128,0.020008,0.997472,idle
3442,0.014152,0.02074,0.999424,idle
3460,0.014152,0.021167,1.001437,idle
3477,0.014823,0.02074,0.998631,idle
3495,0.016775,0.021167,0.994483,idle
3512,0.016287,0.020923,1.007903,idle
3530,0.014396,0.021045,0.999729,idle
3547,0.01342,0.020557,0.995276,idle
3565,0.013908,0.02196,0.99552,idle
3582,0.013359,0.022936,0.998387,idle
3600,0.013847,0.02074,1.001132,idle
3617,0.016104,0.018544,1.000644,idle
3635,0.01708,0.019215,0.997228,idle
3652,0.015189,0.020801,0.998509,idle
3670,0.015433,0.020984,1.002596,idle
3687,0.015067,0.020496,1.00284,idle
3705,0.015067,0.021045,0.99796,idle
3722,0.013603,0.020984,0.998021,idle
3740,0.014335,0.021472,0.997045,idle
3757,0.015372,0.020008,0.997716,idle
3775,0.015189,0.019459,0.999485,idle
