t_ms,ax_g,ay_g,az_g,label
6,-0.0427,0.198128,0.833931,CW
21,0.050203,0.266753,0.843996,CW
40,0.209108,0.301401,1.005036,CW
57,0.284992,0.326777,1.130452,CW
74,0.287615,0.342149,1.112701,CW
91,0.231556,0.344284,0.986309,CW
108,0.162992,0.318115,0.909632,CW
125,0.159881,0.274805,0.919819,CW
145,0.214232,0.249795,1.024373,CW
162,0.282796,0.201849,1.114287,CW
179,0.368989,0.160064,1.1224,CW
196,0.418948,0.127368,0.961787,CW
214,0.466284,-0.04392,0.720532,CW
231,0.459696,-0.122183,0.734196,CW
248,0.423767,-0.177693,0.918233,CW
266,0.433039,-0.243329,1.03334,CW
283,0.439749,-0.255468,1.135088,CW
302,0.358619,-0.239608,1.185352,CW
320,0.141093,-0.1891,1.136552,CW
337,-0.115168,-0.139324,1.025288,CW
354,-0.261263,-0.094672,0.984296,CW
372,-0.313967,-0.002623,1.002169,CW
389,-0.269376,0.065392,0.985272,CW
406,-0.264496,0.156648,0.99796,CW
424,-0.316773,0.290177,1.070001,CW
441,-0.331901,0.372527,1.090619,CW
458,-0.281149,0.40138,1.022848,CW
476,-0.164273,0.400221,0.951661,CW
493,-0.036356,0.415959,0.98332,CW
510,0.044164,0.436943,1.053653,CW
527,0.147559,0.4087,1.067683,CW
547,0.262056,0.354471,1.006744,CW
564,0.36234,0.283528,0.973987,CW
581,0.457805,0.188124,0.964044,CW
598,0.516731,0.081252,0.975024,CW
616,0.508191,-0.003233,0.964715,CW
633,0.529724,-0.0976,0.961299,CW
650,0.522221,-0.182817,0.97234,CW
668,0.482144,-0.231495,0.959835,CW
685,0.392657,-0.22814,0.969107,CW
704,0.282735,-0.204289,0.958127,CW
722,0.182512,-0.192699,0.942511,CW
739,0.091439,-0.170129,0.972523,CW
756,-0.018605,-0.122244,1.009245,CW
774,-0.1281,-0.055388,1.011319,CW
791,-0.202459,0.003477,0.967216,CW
808,-0.227652,0.050203,0.955016,CW
826,-0.254492,0.10492,0.973987,CW
843,-0.259372,0.145729,0.966972,CW
860,-0.247172,0.188429,0.927688,CW
878,-0.219661,0.217953,0.88328,CW
895,-0.197823,0.266143,0.892979,CW
912,-0.150365,0.300181,0.940132,CW
932,-0.081679,0.318908,0.965569,CW
949,0.000976,0.336964,0.96258,CW
966,0.1586,0.328912,0.999424,CW
983,0.29402,0.334219,1.078968,CW
1001,0.346053,0.312869,1.106052,CW
1018,0.333121,0.267729,1.065975,CW
1035,0.357033,0.184281,1.022116,CW
1052,0.410225,0.085339,0.974353,CW
1070,0.486536,-0.060085,0.975085,CW
1087,0.5063,-0.205387,1.004548,CW
1105,0.441701,-0.271816,1.026691,CW
1122,0.330071,-0.286883,1.058472,CW
1139,0.237168,-0.281393,1.058716,CW
1159,0.155428,-0.266265,1.034011,CW
1176,0.046116,-0.217404,1.064816,CW
1194,-0.103151,-0.144509,1.100257,CW
1211,-0.209596,-0.077348,1.065121,CW
1229,-0.233081,-0.020984,0.983808,CW
1246,-0.207949,0.033611,0.933483,CW
1264,-0.24766,0.133041,0.964532,CW
1281,-0.276208,0.223504,1.018395,CW
1298,-0.267851,0.28426,1.020591,CW
1316,-0.2135,0.310612,0.955504,CW
1333,-0.142252,0.322812,0.889197,CW
1351,-0.062037,0.347761,0.881145,CW
1368,0.03538,0.371917,0.922808,CW
1385,0.144936,0.375516,0.976488,CW
1403,0.240645,0.361608,1.000583,CW
1420,0.314211,0.318664,0.948184,CW
