t_ms,ax_g,ay_g,az_g,label
2573,0.088084,-0.093208,0.985028,idle
2590,0.079056,-0.091439,0.991616,idle
2606,0.081984,-0.089548,0.990884,idle
2624,0.095404,-0.087535,0.987224,idle
2641,0.096929,-0.087596,0.982039,idle
2659,0.091439,-0.084729,1.008452,idle
2676,0.08418,-0.083021,0.990396,idle
2694,0.082899,-0.087291,0.985028,idle
2712,0.090524,-0.090341,0.987285,idle
2729,0.091317,-0.085339,0.992348,idle
2747,0.095892,-0.085461,0.994117,idle
2764,0.093208,-0.089792,0.983503,idle
2782,0.087291,-0.094489,0.992348,idle
2800,0.087169,-0.089243,0.988383,idle
2817,0.089853,-0.085583,0.9943,idle
2835,0.093269,-0.087596,0.989237,idle
2852,0.093452,-0.085217,0.999912,idle
2870,0.094001,-0.086559,0.983381,idle
2887,0.086803,-0.087352,0.983076,idle
2905,0.083936,-0.086864,1.000705,idle
2923,0.08418,-0.081496,0.998509,idle
2938,0.091317,-0.086559,0.9882,idle
2956,0.100467,-0.091012,0.978867,idle
2973,0.095221,-0.086132,0.991372,idle
2991,0.088084,-0.086376,0.986248,idle
3009,0.083448,-0.084424,0.99918,idle
3026,0.08906,-0.085095,1.003816,idle
3044,0.104432,-0.091744,0.985089,idle
3061,0.098515,-0.089609,0.978379,idle
3079,0.088023,-0.086437,0.984601,idle
3096,0.08418,-0.078812,1.006744,idle
3114,0.086864,-0.082472,0.992043,idle
3132,0.094489,-0.085461,0.985577,idle
3149,0.102724,-0.087291,0.995703,idle
3167,0.098393,-0.088267,0.988139,idle
3184,0.090524,-0.086132,0.991799,idle
3202,0.085583,-0.086925,0.99064,idle
3220,0.090524,-0.088023,0.993568,idle
3237,0.09638,-0.087596,0.990457,idle
3255,0.098271,-0.085095,0.986187,idle
3270,0.093269,-0.081008,0.99186,idle
3288,0.089304,-0.083387,0.992287,idle
3306,0.092537,-0.084668,0.994849,idle
3323,0.092415,-0.087291,0.990091,idle
3341,0.092049,-0.085217,0.990457,idle
3358,0.092232,-0.084973,0.989176,idle
3376,0.09516,-0.085644,0.989603,idle
3393,0.095953,-0.084424,0.992836,idle
3411,0.095343,-0.086437,0.996984,idle
3429,0.0854,-0.089548,0.990945,idle
3446,0.090097,-0.090585,0.98576,idle
3464,0.096624,-0.088572,0.985821,idle
3481,0.101199,-0.083753,0.990152,idle
3499,0.094611,-0.082716,0.998936,idle
3517,0.084912,-0.086559,0.991433,idle
3534,0.082411,-0.090036,0.985699,idle
3552,0.089731,-0.091256,0.9821,idle
3569,0.095648,-0.08784,0.989847,idle
3587,0.103639,-0.086864,0.993568,idle
3603,0.099247,-0.087352,0.994361,idle
3620,0.093696,-0.088389,0.995581,idle
3638,0.084729,-0.084485,0.991433,idle
3655,0.087535,-0.087108,0.985028,idle
3673,0.091988,-0.086193,0.988993,idle
3690,0.098881,-0.088511,0.997777,idle
3708,0.096136,-0.089487,0.987712,idle
3726,0.090707,-0.092232,0.982405,idle
3743,0.085888,-0.087596,0.999485,idle
3761,0.087779,-0.085644,0.991677,idle
3778,0.091805,-0.088572,0.980148,idle
3796,0.094916,-0.086193,0.992104,idle
3814,0.093391,-0.087413,1.00284,idle
3831,0.091317,-0.090951,0.987224,idle
3849,0.087047,-0.089304,0.976488,idle
3866,0.086864,-0.089853,0.992409,idle
3884,0.093147,-0.085949,1.000644,idle
3902,0.094733,-0.089853,0.982588,idle
3917,0.088145,-0.090036,0.987224,idle
3935,0.088511,-0.089792,0.994849,idle
3952,0.093208,-0.088877,0.990091,idle
3970,0.09516,-0.09028,0.983625,idle
3987,0.091927,-0.088145,0.996496,idle
4005,0.087291,-0.088328,0.998265,idle
4023,0.090585,-0.090585,0.988383,idle
4040,0.091988,-0.088572,0.985272,idle
4058,0.092232,-0.088816,0.989176,idle
4075,0.092903,-0.087352,0.99064,idle
4093,0.091683,-0.085644,0.995764,idle
4111,0.08906,-0.085888,0.995825,idle
4128,0.092659,-0.091195,0.993019,idle
4146,0.090768,-0.091744,0.986309,idle
4163,0.090341,-0.091256,0.980636,idle
4181,0.085217,-0.090829,0.985821,idle
4199,0.089792,-0.089731,0.993568,idle
4216,0.092781,-0.089731,0.990579,idle
4234,0.093879,-0.091561,0.992348,idle
4249,0.09272,-0.095221,0.983808,idle
