t_ms,ax_g,ay_g,az_g,label
2216,-0.039101,0.181597,1.913875,UPDOWN
2234,0.116632,0.124257,1.651697,UPDOWN
2252,0.205875,0.095709,1.428681,UPDOWN
2270,0.207156,0.094489,1.32736,UPDOWN
2287,0.136884,0.106384,1.199687,UPDOWN
2305,0.118096,0.095709,0.941047,UPDOWN
2321,0.137128,0.113399,0.638792,UPDOWN
2338,0.176229,0.081008,0.386679,UPDOWN
2356,0.154208,0.028304,0.19032,UPDOWN
2374,0.098332,0.001952,0.069113,UPDOWN
2391,0.038064,-0.015128,0.027084,UPDOWN
2409,0.005795,-0.005856,0.017324,UPDOWN
2427,0.027816,0.009577,0.046116,UPDOWN
2445,0.051545,0.028304,0.123952,UPDOWN
2462,0.062891,0.027328,0.21106,UPDOWN
2478,0.071736,-0.005185,0.323483,UPDOWN
2496,0.072651,-0.02928,0.484157,UPDOWN
2513,0.138348,-0.030256,0.698633,UPDOWN
2531,0.262544,-0.009699,0.940071,UPDOWN
2549,0.269437,0.089304,1.275449,UPDOWN
2567,0.221857,0.109251,1.487424,UPDOWN
2584,0.138165,0.122,1.612352,UPDOWN
2602,0.027023,0.155428,1.696776,UPDOWN
2618,-0.035136,0.175436,1.776015,UPDOWN
2635,-0.107604,0.213439,1.896368,UPDOWN
2653,-0.120292,0.259067,1.998604,UPDOWN
2671,-0.075579,0.246379,1.998604,UPDOWN
2689,-0.025071,0.188185,1.830976,UPDOWN
2707,0.061,0.127124,1.579168,UPDOWN
2724,0.082289,0.12444,1.514691,UPDOWN
2742,0.059048,0.128893,1.447103,UPDOWN
2758,0.087596,0.109312,1.225612,UPDOWN
2775,0.13542,0.08662,0.987529,UPDOWN
2793,0.162992,0.070272,0.802028,UPDOWN
2811,0.169397,0.04514,0.625799,UPDOWN
2828,0.155367,0.014884,0.454816,UPDOWN
2846,0.140849,-0.020496,0.260836,UPDOWN
2864,0.123708,-0.055632,0.108824,UPDOWN
2882,0.11224,-0.072773,0.023973,UPDOWN
2899,0.126392,-0.08662,-0.046848,UPDOWN
2915,0.118889,-0.063928,0.003416,UPDOWN
2933,0.102236,-0.042883,0.060268,UPDOWN
2951,0.071736,-0.025315,0.170373,UPDOWN
2969,0.037759,-0.029036,0.311283,UPDOWN
2986,0.044164,-0.033245,0.484157,UPDOWN
3004,0.110044,-0.018788,0.705892,UPDOWN
3020,0.183671,0.029524,0.977525,UPDOWN
3038,0.206973,0.085217,1.263676,UPDOWN
3055,0.125172,0.110288,1.510909,UPDOWN
3073,0.046421,0.122244,1.631201,UPDOWN
3091,0.056059,0.158417,1.688053,UPDOWN
3108,0.053619,0.175436,1.835917,UPDOWN
3126,0.03904,0.17446,1.924916,UPDOWN
3144,0.040016,0.181109,1.970056,UPDOWN
3161,0.082777,0.177876,1.883131,UPDOWN
3179,0.122915,0.172447,1.757227,UPDOWN
3195,0.13054,0.163663,1.639497,UPDOWN
3212,0.13542,0.150548,1.498892,UPDOWN
3230,0.152256,0.136884,1.36396,UPDOWN
3248,0.172813,0.121268,1.180777,UPDOWN
3265,0.190808,0.124867,1.041331,UPDOWN
3283,0.171776,0.130296,0.930372,UPDOWN
3301,0.116693,0.110715,0.825208,UPDOWN
3319,0.087352,0.079483,0.719068,UPDOWN
3336,0.103944,0.044469,0.565104,UPDOWN
3354,0.123952,0.002684,0.35746,UPDOWN
3370,0.121024,-0.029585,0.226188,UPDOWN
3387,0.112972,-0.070516,0.148535,UPDOWN
3405,0.089731,-0.087535,0.083021,UPDOWN
3423,0.101748,-0.110044,0.041236,UPDOWN
3441,0.162992,-0.131333,0.087596,UPDOWN
3458,0.19154,-0.120536,0.144936,UPDOWN
3476,0.163724,-0.08174,0.312747,UPDOWN
3492,0.131211,-0.041541,0.534177,UPDOWN
3510,0.129076,-0.022692,0.700768,UPDOWN
3527,0.157868,-0.000671,0.845948,UPDOWN
3545,0.192821,0.066612,1.088423,UPDOWN
3563,0.116144,0.140849,1.374696,UPDOWN
3581,0.028731,0.165859,1.528355,UPDOWN
3598,-0.028792,0.183,1.601128,UPDOWN
3616,-0.012017,0.162748,1.739049,UPDOWN
3632,0.058743,0.149267,1.891488,UPDOWN
3650,0.113948,0.101748,1.998604,UPDOWN
3667,0.211609,0.099003,1.976705,UPDOWN
3685,0.173972,0.057279,1.846653,UPDOWN
3703,0.149267,0.054656,1.663836,UPDOWN
3720,0.120597,0.081252,1.540616,UPDOWN
3738,0.128039,0.105957,1.51646,UPDOWN
3756,0.147376,0.120719,1.383236,UPDOWN
